user_id,start_timestamp,start_date,start_hour,start_day_of_week,city,state,device,age,age_group,income,income_bracket,acquisition_source,completed,dropped_at_step,dropped_at_step_number,step_label,total_time_seconds
USR000045,2026-01-25T02:48:28,2026-01-25,2,Sunday,Chennai,Tamil Nadu,mobile_ios,21,21-24,49714,Middle,paid_ads,0,step_3_personal_details,3,Personal Details,1511
USR000046,2026-05-01T18:11:53,2026-05-01,18,Friday,Hyderabad,Telangana,mobile_android,40,40-44,65015,Upper-Middle,social_media,0,step_2_otp_verification,2,OTP Verification,1051
USR000047,2026-04-27T11:40:35,2026-04-27,11,Monday,Delhi,Delhi,mobile_android,40,40-44,49562,Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,401
USR000048,2026-01-08T04:26:43,2026-01-08,4,Thursday,Mumbai,Maharashtra,mobile_android,29,25-29,81939,High,organic_search,0,step_6_income_details,6,Income Details,995
USR000049,2026-06-25T22:08:02,2026-06-25,22,Thursday,Mumbai,Maharashtra,desktop,24,21-24,45735,Middle,paid_ads,1,completed,9,Completed,836
USR000050,2026-06-11T08:42:00,2026-06-11,8,Thursday,Pune,Maharashtra,mobile_android,42,40-44,62326,Upper-Middle,social_media,1,completed,9,Completed,1028
USR000051,2026-01-29T16:59:32,2026-01-29,16,Thursday,Mumbai,Maharashtra,mobile_android,39,35-39,58575,Upper-Middle,organic_search,0,step_2_otp_verification,2,OTP Verification,807
USR000052,2026-05-02T08:51:55,2026-05-02,8,Saturday,Pune,Maharashtra,mobile_android,36,35-39,51207,Upper-Middle,organic_search,0,step_5_aadhaar_verify,5,Aadhaar Verify,1278
USR000053,2026-04-09T12:26:03,2026-04-09,12,Thursday,Mumbai,Maharashtra,mobile_android,30,30-34,64936,Upper-Middle,paid_ads,1,completed,9,Completed,159
USR000054,2026-01-08T12:53:26,2026-01-08,12,Thursday,Mumbai,Maharashtra,mobile_android,37,35-39,78182,Upper-Middle,paid_ads,0,step_4_pan_upload,4,PAN Upload,242
USR000055,2026-01-19T23:38:24,2026-01-19,23,Monday,Bengaluru,Karnataka,desktop,21,21-24,95772,High,referral,1,completed,9,Completed,252
USR000056,2026-01-04T15:01:45,2026-01-04,15,Sunday,Delhi,Delhi,desktop,34,30-34,64927,Upper-Middle,paid_ads,1,completed,9,Completed,268
USR000057,2026-06-17T07:32:59,2026-06-17,7,Wednesday,Kolkata,West Bengal,mobile_ios,30,30-34,53095,Upper-Middle,referral,1,completed,9,Completed,1546
USR000058,2026-01-05T06:16:37,2026-01-05,6,Monday,Chennai,Tamil Nadu,desktop,26,25-29,76473,Upper-Middle,social_media,1,completed,9,Completed,1672
USR000059,2026-04-04T16:46:23,2026-04-04,16,Saturday,Delhi,Delhi,mobile_ios,44,40-44,60249,Upper-Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,1278
USR000060,2026-01-05T06:26:53,2026-01-05,6,Monday,Bengaluru,Karnataka,desktop,40,40-44,84495,High,organic_search,0,step_3_personal_details,3,Personal Details,847
USR000061,2026-01-20T15:15:36,2026-01-20,15,Tuesday,Mumbai,Maharashtra,mobile_ios,21,21-24,44563,Middle,organic_search,0,step_7_loan_preferences,7,Loan Preferences,1613
USR000062,2026-01-23T17:59:39,2026-01-23,17,Friday,Bengaluru,Karnataka,mobile_android,38,35-39,61429,Upper-Middle,paid_ads,1,completed,9,Completed,831
USR000063,2026-03-25T11:16:04,2026-03-25,11,Wednesday,Kolkata,West Bengal,mobile_ios,35,35-39,65162,Upper-Middle,organic_search,0,step_4_pan_upload,4,PAN Upload,391
USR000064,2026-04-02T08:53:33,2026-04-02,8,Thursday,Bengaluru,Karnataka,mobile_android,46,45+,85112,High,paid_ads,0,step_8_final_submit,8,Final Submit,1168
USR000065,2026-02-12T18:46:16,2026-02-12,18,Thursday,Ahmedabad,Gujarat,mobile_android,21,21-24,71755,Upper-Middle,paid_ads,1,completed,9,Completed,1513
USR000066,2026-06-14T02:23:07,2026-06-14,2,Sunday,Pune,Maharashtra,mobile_ios,21,21-24,55259,Upper-Middle,referral,1,completed,9,Completed,991
USR000067,2026-04-12T18:50:56,2026-04-12,18,Sunday,Kolkata,West Bengal,tablet,35,35-39,32941,Middle,paid_ads,0,step_5_aadhaar_verify,5,Aadhaar Verify,1549
USR000068,2026-01-21T13:52:45,2026-01-21,13,Wednesday,Delhi,Delhi,mobile_android,34,30-34,42048,Middle,organic_search,0,step_2_otp_verification,2,OTP Verification,552
USR000069,2026-03-11T04:53:07,2026-03-11,4,Wednesday,Bengaluru,Karnataka,mobile_android,38,35-39,74432,Upper-Middle,referral,1,completed,9,Completed,1082
USR000070,2026-02-01T04:54:40,2026-02-01,4,Sunday,Delhi,Delhi,desktop,32,30-34,64237,Upper-Middle,email,1,completed,9,Completed,551
USR000071,2026-05-30T12:12:47,2026-05-30,12,Saturday,Chennai,Tamil Nadu,mobile_android,36,35-39,60222,Upper-Middle,paid_ads,0,step_4_pan_upload,4,PAN Upload,1159
USR000072,2026-01-14T10:48:54,2026-01-14,10,Wednesday,Kolkata,West Bengal,mobile_android,22,21-24,31860,Middle,paid_ads,0,step_6_income_details,6,Income Details,1221
USR000073,2026-02-21T18:36:11,2026-02-21,18,Saturday,Chennai,Tamil Nadu,tablet,41,40-44,65931,Upper-Middle,paid_ads,1,completed,9,Completed,1532
USR000074,2026-01-27T21:22:29,2026-01-27,21,Tuesday,Bengaluru,Karnataka,desktop,21,21-24,54409,Upper-Middle,organic_search,1,completed,9,Completed,461
USR000075,2026-01-11T07:37:44,2026-01-11,7,Sunday,Kolkata,West Bengal,mobile_android,40,40-44,30970,Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,1183
USR000076,2026-06-21T13:33:29,2026-06-21,13,Sunday,Delhi,Delhi,desktop,26,25-29,37717,Middle,organic_search,0,step_7_loan_preferences,7,Loan Preferences,1105
USR000077,2026-02-18T16:35:41,2026-02-18,16,Wednesday,Bengaluru,Karnataka,desktop,38,35-39,41231,Middle,organic_search,1,completed,9,Completed,842
USR000078,2026-02-15T18:21:31,2026-02-15,18,Sunday,Bengaluru,Karnataka,mobile_android,42,40-44,60017,Upper-Middle,organic_search,0,step_3_personal_details,3,Personal Details,409
USR000079,2026-04-26T22:50:19,2026-04-26,22,Sunday,Chennai,Tamil Nadu,mobile_android,26,25-29,78483,Upper-Middle,social_media,1,completed,9,Completed,1211
USR000080,2026-01-03T05:55:40,2026-01-03,5,Saturday,Hyderabad,Telangana,mobile_android,31,30-34,23172,Low,organic_search,0,step_6_income_details,6,Income Details,1096
USR000081,2026-01-19T11:18:36,2026-01-19,11,Monday,Delhi,Delhi,mobile_android,26,25-29,52579,Upper-Middle,referral,0,step_7_loan_preferences,7,Loan Preferences,188
USR000082,2026-06-08T19:52:05,2026-06-08,19,Monday,Mumbai,Maharashtra,desktop,21,21-24,50218,Upper-Middle,referral,0,step_2_otp_verification,2,OTP Verification,1585
USR000083,2026-01-16T20:46:27,2026-01-16,20,Friday,Bengaluru,Karnataka,desktop,32,30-34,92951,High,paid_ads,0,step_5_aadhaar_verify,5,Aadhaar Verify,740
USR000084,2026-03-06T13:39:29,2026-03-06,13,Friday,Bengaluru,Karnataka,desktop,35,35-39,99408,High,paid_ads,0,step_6_income_details,6,Income Details,1443
USR000085,2026-06-07T02:44:40,2026-06-07,2,Sunday,Bengaluru,Karnataka,mobile_android,34,30-34,29386,Middle,paid_ads,0,step_1_mobile_entry,1,Mobile Entry,245
USR000086,2026-01-15T20:59:56,2026-01-15,20,Thursday,Chennai,Tamil Nadu,desktop,29,25-29,35624,Middle,organic_search,1,completed,9,Completed,455
USR000087,2026-05-12T12:43:09,2026-05-12,12,Tuesday,Mumbai,Maharashtra,mobile_android,33,30-34,68300,Upper-Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,1147
USR000088,2026-02-01T22:17:31,2026-02-01,22,Sunday,Mumbai,Maharashtra,mobile_android,23,21-24,84284,High,paid_ads,0,step_2_otp_verification,2,OTP Verification,888
USR000089,2026-06-18T06:32:57,2026-06-18,6,Thursday,Pune,Maharashtra,mobile_android,26,25-29,47960,Middle,organic_search,0,step_6_income_details,6,Income Details,159
USR000090,2026-03-09T10:06:02,2026-03-09,10,Monday,Delhi,Delhi,mobile_android,31,30-34,52868,Upper-Middle,referral,0,step_4_pan_upload,4,PAN Upload,669
USR000091,2026-05-11T08:03:41,2026-05-11,8,Monday,Delhi,Delhi,mobile_android,36,35-39,50542,Upper-Middle,organic_search,0,step_6_income_details,6,Income Details,1560
USR000092,2026-02-08T14:28:36,2026-02-08,14,Sunday,Chennai,Tamil Nadu,mobile_android,38,35-39,74046,Upper-Middle,paid_ads,0,step_7_loan_preferences,7,Loan Preferences,1355
USR000093,2026-02-20T19:49:54,2026-02-20,19,Friday,Mumbai,Maharashtra,desktop,43,40-44,89301,High,paid_ads,0,step_5_aadhaar_verify,5,Aadhaar Verify,1570
USR000094,2026-05-31T15:26:28,2026-05-31,15,Sunday,Mumbai,Maharashtra,mobile_android,21,21-24,83048,High,social_media,0,step_4_pan_upload,4,PAN Upload,956
USR000095,2026-01-24T05:08:15,2026-01-24,5,Saturday,Hyderabad,Telangana,mobile_android,31,30-34,75365,Upper-Middle,organic_search,0,step_6_income_details,6,Income Details,205
USR000096,2026-06-06T20:08:19,2026-06-06,20,Saturday,Kolkata,West Bengal,desktop,50,45+,48466,Middle,paid_ads,1,completed,9,Completed,228
USR000097,2026-05-18T04:19:53,2026-05-18,4,Monday,Mumbai,Maharashtra,mobile_android,34,30-34,94841,High,social_media,0,step_2_otp_verification,2,OTP Verification,1088
USR000098,2026-01-09T06:05:58,2026-01-09,6,Friday,Hyderabad,Telangana,tablet,21,21-24,31104,Middle,social_media,0,step_6_income_details,6,Income Details,1190
USR000099,2026-02-08T19:53:36,2026-02-08,19,Sunday,Kolkata,West Bengal,desktop,37,35-39,65477,Upper-Middle,social_media,0,step_2_otp_verification,2,OTP Verification,420
USR000100,2026-05-12T10:43:50,2026-05-12,10,Tuesday,Chennai,Tamil Nadu,mobile_ios,41,40-44,54696,Upper-Middle,social_media,1,completed,9,Completed,1175
USR000101,2026-05-26T00:02:13,2026-05-26,0,Tuesday,Chennai,Tamil Nadu,mobile_android,40,40-44,38990,Middle,referral,1,completed,9,Completed,1043
USR000102,2026-05-20T04:06:46,2026-05-20,4,Wednesday,Kolkata,West Bengal,tablet,35,35-39,44463,Middle,email,1,completed,9,Completed,1768
USR000103,2026-06-28T17:56:41,2026-06-28,17,Sunday,Mumbai,Maharashtra,mobile_android,32,30-34,57970,Upper-Middle,referral,1,completed,9,Completed,1542
USR000104,2026-03-05T01:00:14,2026-03-05,1,Thursday,Pune,Maharashtra,mobile_ios,43,40-44,57385,Upper-Middle,social_media,0,step_2_otp_verification,2,OTP Verification,464
USR000105,2026-04-24T04:34:00,2026-04-24,4,Friday,Pune,Maharashtra,mobile_android,31,30-34,54892,Upper-Middle,paid_ads,1,completed,9,Completed,1000
USR000106,2026-03-06T03:55:41,2026-03-06,3,Friday,Pune,Maharashtra,desktop,30,30-34,45497,Middle,paid_ads,1,completed,9,Completed,1452
USR000107,2026-03-24T00:21:17,2026-03-24,0,Tuesday,Ahmedabad,Gujarat,mobile_android,21,21-24,60136,Upper-Middle,paid_ads,1,completed,9,Completed,1641
USR000108,2026-05-14T13:29:52,2026-05-14,13,Thursday,Delhi,Delhi,mobile_android,26,25-29,47243,Middle,paid_ads,0,step_3_personal_details,3,Personal Details,1135
USR000109,2026-03-08T16:26:58,2026-03-08,16,Sunday,Bengaluru,Karnataka,mobile_android,34,30-34,81852,High,paid_ads,1,completed,9,Completed,1167
USR000110,2026-04-11T21:06:36,2026-04-11,21,Saturday,Pune,Maharashtra,mobile_android,30,30-34,26396,Middle,organic_search,0,step_4_pan_upload,4,PAN Upload,1267
USR000111,2026-02-16T02:35:48,2026-02-16,2,Monday,Delhi,Delhi,mobile_android,23,21-24,75253,Upper-Middle,social_media,0,step_5_aadhaar_verify,5,Aadhaar Verify,1048
USR000112,2026-02-14T13:05:29,2026-02-14,13,Saturday,Mumbai,Maharashtra,mobile_android,21,21-24,70559,Upper-Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,372
USR000113,2026-02-16T11:59:48,2026-02-16,11,Monday,Delhi,Delhi,tablet,34,30-34,37075,Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,721
USR000114,2026-05-22T15:34:56,2026-05-22,15,Friday,Chennai,Tamil Nadu,mobile_ios,48,45+,28608,Middle,email,1,completed,9,Completed,971
USR000115,2026-05-16T04:27:40,2026-05-16,4,Saturday,Bengaluru,Karnataka,desktop,29,25-29,82915,High,paid_ads,1,completed,9,Completed,1620
USR000116,2026-06-02T05:21:20,2026-06-02,5,Tuesday,Hyderabad,Telangana,tablet,26,25-29,64007,Upper-Middle,paid_ads,0,step_4_pan_upload,4,PAN Upload,752
USR000117,2026-06-13T15:22:37,2026-06-13,15,Saturday,Delhi,Delhi,mobile_android,27,25-29,69121,Upper-Middle,social_media,0,step_6_income_details,6,Income Details,537
USR000118,2026-01-30T17:49:26,2026-01-30,17,Friday,Mumbai,Maharashtra,tablet,35,35-39,73306,Upper-Middle,paid_ads,1,completed,9,Completed,1135
USR000119,2026-02-07T16:49:58,2026-02-07,16,Saturday,Hyderabad,Telangana,desktop,32,30-34,54335,Upper-Middle,paid_ads,1,completed,9,Completed,435
USR000120,2026-02-10T09:15:54,2026-02-10,9,Tuesday,Mumbai,Maharashtra,desktop,36,35-39,101010,High,organic_search,1,completed,9,Completed,939
USR000121,2026-05-12T00:12:55,2026-05-12,0,Tuesday,Pune,Maharashtra,mobile_android,46,45+,45886,Middle,organic_search,0,step_6_income_details,6,Income Details,206
USR000122,2026-01-13T01:26:44,2026-01-13,1,Tuesday,Pune,Maharashtra,mobile_android,41,40-44,38384,Middle,social_media,1,completed,9,Completed,233
USR000123,2026-02-20T14:17:09,2026-02-20,14,Friday,Delhi,Delhi,mobile_ios,34,30-34,87418,High,paid_ads,1,completed,9,Completed,600
USR000124,2026-05-04T20:01:28,2026-05-04,20,Monday,Bengaluru,Karnataka,desktop,21,21-24,89030,High,email,0,step_2_otp_verification,2,OTP Verification,1205
USR000125,2026-03-01T02:27:13,2026-03-01,2,Sunday,Kolkata,West Bengal,mobile_android,40,40-44,53182,Upper-Middle,referral,1,completed,9,Completed,157
USR000126,2026-05-09T05:47:04,2026-05-09,5,Saturday,Bengaluru,Karnataka,mobile_android,36,35-39,76385,Upper-Middle,organic_search,0,step_6_income_details,6,Income Details,256
USR000127,2026-05-16T18:47:31,2026-05-16,18,Saturday,Delhi,Delhi,mobile_android,21,21-24,18869,Low,paid_ads,0,step_2_otp_verification,2,OTP Verification,1256
USR000128,2026-05-24T11:18:34,2026-05-24,11,Sunday,Hyderabad,Telangana,mobile_android,26,25-29,57080,Upper-Middle,social_media,1,completed,9,Completed,1372
USR000129,2026-06-05T00:54:59,2026-06-05,0,Friday,Pune,Maharashtra,mobile_android,42,40-44,17646,Low,organic_search,0,step_7_loan_preferences,7,Loan Preferences,1078
USR000130,2026-05-16T21:04:57,2026-05-16,21,Saturday,Chennai,Tamil Nadu,mobile_android,39,35-39,84297,High,referral,0,step_6_income_details,6,Income Details,752
USR000131,2026-03-16T10:40:25,2026-03-16,10,Monday,Mumbai,Maharashtra,mobile_android,25,25-29,30987,Middle,paid_ads,0,step_4_pan_upload,4,PAN Upload,838
USR000132,2026-06-04T21:36:39,2026-06-04,21,Thursday,Mumbai,Maharashtra,mobile_android,35,35-39,68535,Upper-Middle,organic_search,0,step_3_personal_details,3,Personal Details,887
USR000133,2026-02-02T14:43:08,2026-02-02,14,Monday,Delhi,Delhi,desktop,39,35-39,48400,Middle,paid_ads,1,completed,9,Completed,1137
USR000134,2026-04-25T03:14:31,2026-04-25,3,Saturday,Mumbai,Maharashtra,mobile_android,31,30-34,60752,Upper-Middle,paid_ads,0,step_2_otp_verification,2,OTP Verification,971
USR000135,2026-03-28T23:18:45,2026-03-28,23,Saturday,Mumbai,Maharashtra,mobile_android,34,30-34,63171,Upper-Middle,email,1,completed,9,Completed,451
USR000136,2026-05-14T12:23:09,2026-05-14,12,Thursday,Mumbai,Maharashtra,desktop,27,25-29,84622,High,paid_ads,0,step_3_personal_details,3,Personal Details,845
USR000137,2026-01-22T08:26:28,2026-01-22,8,Thursday,Kolkata,West Bengal,mobile_ios,35,35-39,49976,Middle,paid_ads,0,step_1_mobile_entry,1,Mobile Entry,1126
USR000138,2026-04-19T17:42:48,2026-04-19,17,Sunday,Mumbai,Maharashtra,mobile_android,35,35-39,71464,Upper-Middle,organic_search,0,step_5_aadhaar_verify,5,Aadhaar Verify,271
USR000139,2026-03-04T15:06:07,2026-03-04,15,Wednesday,Pune,Maharashtra,mobile_android,28,25-29,74916,Upper-Middle,organic_search,1,completed,9,Completed,1492
USR000140,2026-03-16T16:11:44,2026-03-16,16,Monday,Bengaluru,Karnataka,mobile_android,36,35-39,94288,High,paid_ads,0,step_5_aadhaar_verify,5,Aadhaar Verify,1769
USR000141,2026-02-08T22:13:49,2026-02-08,22,Sunday,Ahmedabad,Gujarat,mobile_ios,32,30-34,42051,Middle,paid_ads,1,completed,9,Completed,357
USR000142,2026-02-28T08:31:14,2026-02-28,8,Saturday,Ahmedabad,Gujarat,mobile_android,21,21-24,53964,Upper-Middle,social_media,1,completed,9,Completed,883
USR000143,2026-04-09T09:05:06,2026-04-09,9,Thursday,Chennai,Tamil Nadu,mobile_android,21,21-24,69877,Upper-Middle,referral,0,step_3_personal_details,3,Personal Details,160
USR000144,2026-02-24T12:58:44,2026-02-24,12,Tuesday,Mumbai,Maharashtra,mobile_android,32,30-34,83470,High,social_media,0,step_6_income_details,6,Income Details,1499
USR000145,2026-01-02T00:27:49,2026-01-02,0,Friday,Pune,Maharashtra,desktop,33,30-34,59086,Upper-Middle,organic_search,0,step_3_personal_details,3,Personal Details,429
USR000146,2026-06-02T16:26:26,2026-06-02,16,Tuesday,Bengaluru,Karnataka,mobile_android,34,30-34,78072,Upper-Middle,paid_ads,0,step_3_personal_details,3,Personal Details,1657
USR000147,2026-01-11T12:37:59,2026-01-11,12,Sunday,Bengaluru,Karnataka,mobile_android,33,30-34,62628,Upper-Middle,organic_search,1,completed,9,Completed,1227
USR000148,2026-05-22T10:26:08,2026-05-22,10,Friday,Chennai,Tamil Nadu,desktop,32,30-34,38894,Middle,paid_ads,1,completed,9,Completed,1395
USR000149,2026-01-17T05:01:58,2026-01-17,5,Saturday,Delhi,Delhi,mobile_ios,42,40-44,60709,Upper-Middle,email,1,completed,9,Completed,1597
USR000150,2026-03-03T06:01:12,2026-03-03,6,Tuesday,Kolkata,West Bengal,mobile_android,40,40-44,41050,Middle,organic_search,0,step_6_income_details,6,Income Details,1763
USR000151,2026-03-29T06:13:00,2026-03-29,6,Sunday,Bengaluru,Karnataka,mobile_android,24,21-24,75422,Upper-Middle,paid_ads,0,step_8_final_submit,8,Final Submit,1158
USR000152,2026-02-10T11:12:03,2026-02-10,11,Tuesday,Hyderabad,Telangana,mobile_ios,29,25-29,65045,Upper-Middle,social_media,1,completed,9,Completed,1579
USR000153,2026-04-21T16:40:26,2026-04-21,16,Tuesday,Hyderabad,Telangana,desktop,31,30-34,48948,Middle,paid_ads,1,completed,9,Completed,1071
USR000154,2026-01-16T03:25:11,2026-01-16,3,Friday,Delhi,Delhi,mobile_android,28,25-29,45845,Middle,social_media,0,step_5_aadhaar_verify,5,Aadhaar Verify,888
USR000155,2026-04-29T06:03:55,2026-04-29,6,Wednesday,Bengaluru,Karnataka,mobile_android,26,25-29,57630,Upper-Middle,paid_ads,0,step_8_final_submit,8,Final Submit,869
USR000156,2026-01-14T05:15:13,2026-01-14,5,Wednesday,Delhi,Delhi,mobile_android,21,21-24,48884,Middle,referral,0,step_6_income_details,6,Income Details,1235
